tournament_year,raw_ground,venue_id,canonical_venue_name,city,country,country_code,latitude,longitude,coordinate_precision,source_name,source_reference,verified_at,notes
1930,"Estadio Pocitos, Montevideo",abe74309470beff1,Estadio Pocitos,Montevideo,Uruguay,UY,-34.905053,-56.1562,stadium,Wikidata,https://www.wikidata.org/wiki/Q741103,2026-07-15,
1930,"Estadio Parque Central, Montevideo",7e26ac6ae024778f,Estadio Parque Central,Montevideo,Uruguay,UY,-34.884458,-56.158729,stadium,OpenStreetMap,https://www.openstreetmap.org/way/37578954,2026-07-15,
1930,"Estadio Centenario, Montevideo",9be26f93f30babd0,Estadio Centenario,Montevideo,Uruguay,UY,-34.894539,-56.152684,stadium,OpenStreetMap,https://www.openstreetmap.org/relation/2512517,2026-07-15,
1934,"Stadio Littoriale, Bologna",50c2783b9b11e35d,Stadio Renato Dall'Ara,Bologna,Italy,IT,44.492317,11.309997,stadium,OpenStreetMap,https://www.openstreetmap.org/way/823094953,2026-07-15,
1934,"Stadio Benito Mussolini, Turin",0944c9c5405e7ac7,Stadio Olimpico Grande Torino,Turin,Italy,IT,45.041743,7.650018,stadium,OpenStreetMap,https://www.openstreetmap.org/way/124253933,2026-07-15,
1934,"Stadio Giovanni Berta, Florence",7a550898ce8b81d1,Stadio Artemio Franchi,Florence,Italy,IT,43.780884,11.282819,stadium,OpenStreetMap,https://www.openstreetmap.org/way/28653500,2026-07-15,
1934,"Stadio Luigi Ferraris, Genoa",86bd0d8b9efd0107,Stadio Luigi Ferraris,Genoa,Italy,IT,44.416475,8.952534,stadium,OpenStreetMap,https://www.openstreetmap.org/way/379998036,2026-07-15,
1934,"Stadio Giorgio Ascarelli, Naples",088c387cd4f3b0d3,Stadio Giorgio Ascarelli,Naples,Italy,IT,40.859722,14.293333,stadium,Wikidata,https://www.wikidata.org/wiki/Q1010594,2026-07-15,
1934,"Stadio San Siro, Milan",7b4dfe190c7d5981,Stadio San Siro,Milan,Italy,IT,45.4782,9.123964,stadium,OpenStreetMap,https://www.openstreetmap.org/way/218520505,2026-07-15,
1934,"Stadio Nazionale PNF, Rome",99590fee7b7be302,Stadio Olimpico,Rome,Italy,IT,41.927222,12.472222,stadium,Wikidata,https://www.wikidata.org/wiki/Q642958,2026-07-15,
1934,"Stadio Littorio, Trieste",31884f16c167b519,Stadio Nereo Rocco,Trieste,Italy,IT,45.622689,13.792638,stadium,OpenStreetMap,https://www.openstreetmap.org/way/936832898,2026-07-15,
1938,"Parc des Princes, Paris",f357e447f5cd5297,Parc des Princes,Paris,France,FR,48.841363,2.253069,stadium,OpenStreetMap,https://www.openstreetmap.org/way/53559935,2026-07-15,
1938,"Vélodrome Municipal, Reims",614437dfccbcbca3,Stade Auguste-Delaune,Reims,France,FR,49.247076,4.024787,stadium,OpenStreetMap,https://www.openstreetmap.org/way/762501755,2026-07-15,
1938,"Stade Olympique de Colombes, Paris",93ff29a26750e0c7,Stade Olympique Yves-du-Manoir,Colombes,France,FR,48.930284,2.24988,stadium,OpenStreetMap,https://www.openstreetmap.org/way/39245149,2026-07-15,
1938,"Stade Chapou, Toulouse",2957cdd19a3810b3,Stadium de Toulouse,Toulouse,France,FR,43.583226,1.434064,stadium,OpenStreetMap,https://www.openstreetmap.org/way/534217397,2026-07-15,
1938,"Stade Vélodrome, Marseille",5294b1274a5ad757,Stade Vélodrome,Marseille,France,FR,43.269836,5.395912,stadium,OpenStreetMap,https://www.openstreetmap.org/way/172853962,2026-07-15,
1938,"Stade de la Meinau, Strasbourg",94c1036b4024944d,Stade de la Meinau,Strasbourg,France,FR,48.559948,7.755122,stadium,OpenStreetMap,https://www.openstreetmap.org/relation/3856635,2026-07-15,
1938,"Stade municipal, Le Havre",22b587acb9e7ca3c,Stade Océane,Le Havre,France,FR,49.498751,0.169464,stadium,OpenStreetMap,https://www.openstreetmap.org/way/238067304,2026-07-15,
1938,"Stade Gerland, Lyon",430a43a70e1fa59a,Stade de Gerland,Lyon,France,FR,45.723776,4.832252,stadium,OpenStreetMap,https://www.openstreetmap.org/way/4585967,2026-07-15,
1938,"Parc Lescure, Bordeaux",af2244043af55faa,Stade Chaban-Delmas,Bordeaux,France,FR,44.829308,-0.598264,stadium,OpenStreetMap,https://www.openstreetmap.org/way/268785934,2026-07-15,
1938,"Stade Victor Boucquey, Lille",f305789e8390270c,Stade Victor Boucquey,Lille,France,FR,50.6375,3.036111,stadium,Wikidata,https://www.wikidata.org/wiki/Q901844,2026-07-15,
1938,"Stade du Fort Carré, Antibes",d49902684f629a58,Stade du Fort Carré,Antibes,France,FR,43.590979,7.125418,stadium,OpenStreetMap,https://www.openstreetmap.org/way/292942244,2026-07-15,
1950,"Estádio do Maracanã, Rio de Janeiro",45531353cdd4cc1e,Estádio do Maracanã,Rio de Janeiro,Brazil,BR,-22.912162,-43.231186,stadium,OpenStreetMap,https://www.openstreetmap.org/relation/4587734,2026-07-15,
